path	bytes
README.md	17977
data/agent-log-event-summary-compact.txt	37400
data/external-issue-1826-comments.json	1663
data/external-issue-1826-timeline.json	25467
data/external-issue-1826-view.json	912
data/log-line-counts.txt	1626
data/pr-1833-action-run-ids.txt	192
data/pr-1833-actions-runs.json	6106
data/pr-1833-api.json	16760
data/pr-1833-conversation-comments.json	19873
data/pr-1833-events.json	3702
data/pr-1833-file-patches.txt	557
data/pr-1833-files-api.json	1196
data/pr-1833-final-commit-api.json	5269
data/pr-1833-review-comments.json	2
data/pr-1833-reviews.json	2
data/pr-1833-timeline.json	55378
data/pr-1833-view.json	13710
data/related-pr-1839-view.json	15755
data/related-pr-1839.diff	25600
logs/actions-run-24467127121.log	491544
logs/actions-run-24467127123.log	713944
logs/actions-run-24467127126.log	56827
logs/actions-run-24467127133.log	814743
logs/actions-run-24467127145.log	3213260
logs/actions-run-24467127150.log	121797
logs/actions-run-24467127151.log	267159
logs/actions-run-24467127158.log	104014
logs/actions-run-24467564315.log	83967
logs/actions-run-24467564323.log	3213200
logs/actions-run-24467564326.log	104320
logs/actions-run-24467564335.log	57408
logs/actions-run-24467564339.log	714090
logs/actions-run-24467564340.log	121724
logs/actions-run-24467564352.log	266955
logs/actions-run-24467564375.log	833993
logs/solution-draft-0717628d22607598cd694e9fceffba00.log	6634305
logs/solution-draft-6aeb182b868a97770a8ed3ff525819f6.log	12089754
logs/solution-draft-6f6c199f24d71573b4442a06f81b978c.log	5443667
logs/solution-draft-91241a154e97dea0617ad634fcf57edf.log	3716544
logs/solution-draft-a67740672b4eedff7350d8059d673aa1.log	11157656
research/hive-code-local-search.txt	42281
research/hive-code-search-auto-restart.txt	0
research/hive-merged-pr-search.txt	0
research/online-sources.md	1931
